idpozo,idempresa,empresa,cuenca,provincia,formacion,tipo_de_recurso,n_meses,prod_pet_annual
96930,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,21.78298
96930,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,179.65
96932,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,22.5178
96932,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,187.45999999999998
96933,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,48.91736
96933,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,343.91
96935,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,17.2182
96935,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,162.04
96940,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,26.64238
96940,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,360.18
96943,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,37.23866
96943,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,534.15
96945,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,53.56578
96945,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,248.9
96946,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,31.83573
96946,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,144.8
96947,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,2.845782
96947,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,17.86
96949,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,0.052976
96949,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,42.78
96952,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,5.281816
96952,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,10,200.09
96954,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,29.27121
96954,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,294.25
96957,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,27.72194
96957,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,235.47
96959,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,24.56726
